Question,Answer
Como realizar a antecipacao do 13 salario,\Clique aqui enbspsaiba todos os detalhes sobre a antecipacaonbspdo 13 salario \
O que e o Bradesco Explica,\Bradesco Explica e uma area de videos que mostra passo a passo como realizar transacoes e utilizar os Canais Digitais Voce conta com videos sobre  Aumento de limite sem precisar ir a agencia  Solucoes alem da agencia  DDA via SMS e SMS Banking  Validacao digital com Token no Celular  Validacao digital com Token Fisico  Saque sem cartao  Fone Facil com comando de voz Clique aqui e conheca o Bradesco Explica nbsp \
Por que e cobrada a taxa anuidade do meu Cartao,\A anuidade e cobrada para manter a qualidade dos beneficios disponibilizados em seu cartao bemnbspcomo a confeccao e envio desse os servicos da nossa Central de atendimento a linha de credito disponibilizada entre outros \
O que e a Livelo,\A Livelo e mais uma empresa Bradesco criada exclusivamente para ampliar sua experiencia de resgates de recompensas Por meio dela seus pontos poderao ser trocados de um jeito muito mais facil e pratico \
Fiz o pagamento da parcela do meu financiamento mas ela nao consta baixada Como faco para resolver ,\Se voce efetuou o pagamento de sua parcela de financiamento observe que o prazo de compensacao bancaria pode chegar ate 3 dias uteis caso este prazo ja tenha sido ultrapassado entre em contato com a Central de Relacionamento nos telefones 40044433 capitais e regioes metropolitanas ou 0800 722 4433 demais localidades E importante ter em maos o comprovante de pagamento \
Como cancelo meu acordo,\Para verificar a possibilidade de cancelamento do seu acordo entre em contato com a sua agencia \
Fiz uma renegociacao e nao estou entendendo a atualizacao da divida eou nao concordo com os valores cobrados O que devo fazer,\Para tirar suas duvidas sobre renegociacao entre em contato com uma agencia Bradesco \
Quero fazer uma proposta o que devo fazer,\E possivel realizar uma proposta de regularizacao de divida a proposta sera analisada em ate 3 dias uteis Preencha e envie a proposta agora mesmo clique na opcao de acordo com o Produto a ser negociado Banco Pessoa Fisica Banco Pessoa Juridica Cartoes BradesCard Consorcio Pessoa Fisica Consorcio Pessoa Juridica nbsp  nbsp \
Tenho uma parcela a vencer mas perdi o boleto Como posso emitir uma nova via,\Va em qualquer agencia Bradesco com um documento de identificacao para a impressao da 2 via nbsp \
Recebi um SMS para regularizacao de divida com um codigo de acesso o que devo fazer,\Com o codigo de acesso em maos imprima sua proposta preaprovada com as melhores condicoes para voce Clique aquinbsp \
Preciso de autorizacao da OdontoPrev para iniciar o tratamento,\E necessaria uma preaprovacao para o inicio do tratamento de qualquer procedimento coberto \
Os Planos Prata e Ouro cobrem atendimento de urgencia,\Sim Apos pagamento da 1 parcela do plano procure um prontosocorro pelonbspsitenbspou ligue para o Disque IbiOdontoOdontoPrev  0800 709 0060 \
Se estiver fora de minha cidade posso usar outros dentistas da rede credenciada,\Sim a rede credenciada IBIodonto esta disponivel em territorio nacional Se preferir ligue para o Disque IbiodontoOdontoPrev  0800 709 0060  para encontrar um dentista em outros estados \
Como instalar a extensao do Rapport no navegador Google Chrome,\Para instalar a extensao do Rapport no navegador Google Chrome e so 1 Abrir o Rapport em Iniciar gt Todos os Programas gt Protecao de Terminal Trusteer gt Console do Trusteer Endpoint Protection 2 Na area de Configuracoes de Produto ao lado da Extensao do Chrome clicar em Instalar se o Google Chrome nao estiver configurado como seu navegadorpadrao o link abre naquele que estiver configurado 3 Copiar a URL na barra de endereco e colar na barra do Google Chrome para continuar 3 Voce sera direcionado para a loja online do Google Chrome Clique em USAR NO CHROMEnbsp 4 Para concluir selecione a opcao adicionar extensao nbsp \
Como renegocio meu cartao de credito VISA,\Para efetuar uma renegociacao do seu Cartao de Credito Visa correntista acesse o APP Bradesco Necessario o uso da Chave de Seguranca e da Senha de 4 digitos E so acessar sua conta pelo APP e clicar em Renegociacao de Dividas Sistema disponivel em dias uteis das 6h as 17h45minnbsp Para Cartoes nao Correntista entre em contato com a central de Cartoes Regioes metropolitanas 11 4003 0520 ou Demais localidades 0800 885 0520 Horario de funcionamento Segunda a Sexta das 8h as 20h40min \
Quais bancos aderiram ao sistema de portabilidade,\Todas as instituicoes financeiras e de pagamentos \
Os beneficiarios do INSS podem fazer a portabilidade de salario,\Nao As disposicoes da portabilidade nao se aplicam aos beneficiarios do Instituto Nacional do Seguro Social INSS \
Como retirar meu nome da restricao,\Para retirar a restricao do seu CPF e necessario realizar o pagamento eou renegociar todas as dividas vinculadas ao CPF A renegociacao de dividas pode ser realizada nas agencias ou nos canais digitais Apos esse procedimento a restricao e retirada dos contratos renegociados nos orgaos de protecao ao credito em ate 5 dias uteis \
Recebi uma carta de cobranca do SCPCSPC o que devo fazer,\Se voce recebeu uma carta do SCPC e provavel que voce esteja em atraso no pagamento dos seus contratos com o Bradesco Para nao incluir a restricao ao seu CPF e necessario realizar o pagamento eou renegociar todas as dividas vinculadas a ele A renegociacao de dividas pode ser realizada nas agencias ou nos canais digitais \
Quais as formas de pagamento oferecidas pelo Comercio Eletronico Bradesco,\As formas de pagamento para B2C empresa vendendo para consumidor sao Boleto Bancario boleto gerado no momento da compra financiamento eletronico parcelamento com limite de credito pessoal transferencia entre contas credito online para o lojistaA forma de pagamento B2B empresa vendendo para empresa e o pagamento eletronico transferencia de arquivos pelo Net Empresa \
Configurei os meios de pagamento no meu site Como devo solicitar a homologacao,\A homologacao deve ser solicitada pelo email homologacaoscopuscombr com os seguintes dados nome da empresa CNPJ agencia conta e o endereco de teste do site para testar o funcionamento \
Como posso adquirir um Consorcio Bradesco,\Em nosso site voce conhece os planos faz simulacoes e pode enviar sua proposta Nossa equipe de consultores especializados entrara em contato com voce Se preferir ligue para a Central Consorcio Bradesco no telefone 08008871580 de 2 a 6 feira das 8h as 18h ou va ate uma Agencia Bradesco \
A Bradesco Consorcios oferece seguro de vida para os contratantes Quais sao as coberturas,\Sim a contratacao do seguro e opcional Se houver interesse o seguro cobre morte natural ou por acidente e invalidez total e permanente por acidente conforme previsto na apolice de seguro Na ocorrencia do sinistro apos a aprovacao de seguradora o saldo devedor total sera quitado A diferenca entre o saldo e o valor do bem sera paga aos beneficiarios \
Posso antecipar o pagamento de parcelas do Consorcio Bradesco,\Sim ligue para a Central Consorcio Bradesco no telefone 08008871580 de 2 a 6 feira das 8h as 18h ou va ate sua agencia A antecipacao amortizara parcelas das ultimas para as primeiras mas nao sera considerada como um lance \
Quando sera a primeira assembleia do meu grupo,\Logo apos a formacao do grupo voce sera informado via correio sobre a data e o horario da 1 assembleia O calendario das assembleias seguintes pode ser consultado aqui \
Quem pode acessar o Bradesco Custodia,\Os Clientes  Gestores que tem servicos prestados pelo Bradesco Custodia devidamente formalizados na Lista de Pessoas Autorizadas Mais informacoes podem ser obtidas atraves do link clique aqui \
Como inserir ou excluir um usuario da lista de pessoas autorizadas,\Um dos usuarios Master deve preencher o formulario \Lista de Pessoas Autorizadas\  bem como seguir os procedimentos disponiveis no link clique aqui \
O que e CET ,\E o Custo Efetivo Total taxa de juros acrescida de tributos tarifas seguros e demais despesas envolvidas em uma operacao de credito durante determinado periodo O CET foi criado para oferecer mais transparencia e seguranca na contratacao de credito permitindo ao cliente conhecer o valor no momento da simulacao ou da proposta e comparar o preco do financiamento eou arrendamento mercantil entre diferentes instituicoes financeiras \
Como funciona o processo de compras do Bradesco,\Acesse o site de fornecedores e entenda nossos processos \
Qual e o objetivo do Codigo de Conduta Etica da Organizacao Bradesco,\O codigo contribui para a formacao de uma cultura de relacionamento com os nossos publicos de interesse e ao mesmo tempo funciona como guia pratico de conduta pessoal e profissional de administradores funcionarios fornecedores prestadores de servicos sociedades controladoras e controladas e empresas da Organizacao Confira aqui o documento \
Como faco para consultar ou solicitar os taloes de cheques disponiveis na agencia,\Voce pode consultar e solicitar taloes pelo Internet Banking nas opcoes Outros Servicos gt Cheques Bradesco Celular Fone Facil ou nas Maquinas de Autoatendimento Se voce nao tem limite de taloes cadastrados na conta va ate sua agencia e fale com o gerente \
Como altero o endereco de entrega dos meus taloes de cheques,\Os taloes sao enviados para seu endereco de correspondencia Caso precise alteralo va ate sua agencia e procure o gerente \
Como altero a quantidade de taloes de cheques em minha conta,\Va ate sua Agencia Bradesco e procure seu gerente \
Como cancelo ou bloqueio um traveler cheque em caso de perda ou roubo,\Se voce estiver no Brasil entre em contato com o Servico de Atendimento ao Associado para bloquear e solicitar reembolso Se estiver no exterior ligue para o telefone da American Express do pais onde esta Voce encontra o numero de telefone no cartao destacavel que recebeu junto ao traveller cheque \
Meu pedido de taloes de cheques foi bloqueado O que devo fazer,\Va ate sua agencia e procure o gerente Os cheques que voce ja possui podem ser usados normalmente \
Como faco para cadastrar minhas contas em Debito Automatico,\Voce pode cadastrar suas contas pelo Internet Banking nas Maquinas de Autoatendimento e Agencias Bradesco \
Estou tendo dificuldade para instalar o Plugin Componente de Seguranca O que devo fazer,\Entenda aqui o passo a passo da instalacao nbsp \
Esqueci minhas Letras de Acesso o que devo fazer,\Se voce esqueceu suas Letras de Acesso va ate uma Maquina de Autoatendimento e efetue 3 tentativas ate que as letras sejam bloqueadas Depois ligue para o Fone Facil ou va ate uma Agencia Bradesco Para evitar esquecimentos e ter ainda mais seguranca em suas transacoes nas Maquinas de Autoatendimento cadastre a palma da sua mao com a Biometria Por meio da leitura da sua corrente sanguinea voce protege seu acesso e ainda pode fazer transacoes sem o cartao da conta Conheca e saiba como cadastrar aqui com a aba de Biometria aberta  cadastrar as letras para acesso para atendimento caixa eletronico \
Estou no Japao e preciso abrir uma conta no Brasil O que devo fazer,\Conheca a Conta Internacional e preencha a proposta de abertura de conta aqui \
Para qual endereco devo enviar a documentacao de abertura da minha Conta Internacional,\EmailnbspcontabradescobradescocombrnbspEndereco postal Banco Bradesco SA Agencia 3100Digital Sao Paulo  Largo Santa Cecilia 47  1 andar  CEP 01225010  Sao Paulo SP  Brasil \
Como faco para saber se o correspondente e realmente credenciado pelo Bradesco Financiamentos,\Basta clicar aqui ou ligar para nossa Central de Atendimento  0800 055 7222 \
Qual a taxa de juros praticada pelo Bradesco Financiamentos  Consignado,\Procure um correspondentenbspautorizadonbspda Bradesco Financiamentos  Consignado ou ligue para a Central de Vendas no telefonenbsp0800 704 5533 \
Onde encontro as demonstracoes de resultados e os relatorios do banco,\Acesse bradescocombrri e clique em Relatorios e Planilhas opcao Relatorios Trimestrais As teleconferencias que discutem estes resultados estao na secao Eventos e Apresentacoes subitem Teleconferencias \
Quais atividades podem ser financiadas pelo credito rural,\ Custeio das despesas normais de cada ciclo produtivo Investimento em bens ou servicos cujo aproveitamento se estenda por varios ciclos produtivos Comercializacao da producao Nota Promissoria Rural NPR Conheca todas as solucoes em nosso site no menu Credito \
Na antecipacao de recebiveis podem ser descontados cheques nominais a terceiros,\Nao O cheque deve ser nominal ao tomador de credito junto ao Banco \
Trabalhadores autonomos que nao possuem comprovacao de renda podem solicitar um emprestimo,\Sim A agencia vai analisar a movimentacao em sua contacorrente e fazer a avaliacao do credito \
Como devo proceder em caso de roubo ou perda total do bem financiado pelo CDC,\Se o bem tiver seguro o valor recebido deve ser usado para quitar o contrato Caso nao tenha seguro voce deve quitar o contrato ou manter o pagamento das parcelas em dia \
Posso substituir o veiculo do meu financiamento,\Sim desde que nao tenha parcelas vencidas e o valor do veiculo dado em substituicao seja no minimo igual ao saldo devedor do contrato Essa alteracao deve ser solicitada em sua agencia e esta sujeita a aprovacao de credito \
Posso solicitar a transferencia de titularidade de um financiamento CDC,\Sim A transferencia estara sujeita a analise de credito observando os seguintes criterios \
Como faco para contratar um microcredito,\Faca uma proposta aqui Se preferir procure sua agencia \
Os Fundos de Renda Variavel e alguns Fundos Multimercados podem ter rentabilidade negativa mesmo quando a bolsa sobe E verdade que eles podem ter uma queda ainda maior do que a da bolsa e subir menos do que a bolsa,\Sim isso ocorre porque nem sempre as acoes que se valorizam na Bolsa sao as que compoem a carteira do fundo E importante analisar o mercado considerando a composicao da carteira \
Cadastrei meu curriculo no site do Bradesco E agora,\Quando surgirem vagas seu curriculo sera analisado e voce podera ser convocado para uma entrevista caso seu perfil seja adequado ao cargo sugerido \
Posso abrir minha conta universitaria em qualquer lugar do Brasil,\Sim voce pode abrir sua conta em qualquer Agencia Bradesco do Pais exceto em Agencias Prime Corporate e de bancos correspondentes \
Quais sao as opcoes de contribuicao para um plano de previdencia complementar,\Voce pode contribuir mensalmente ou de uma unica vez Tanto na contribuicao mensal quanto na unica voce pode ainda fazer contribuicoes adicionais aportes a qualquer momento respeitando os valores minimos de cada plano \
Como faco para adquirir um plano da Bradesco Vida e Previdencia,\A Bradesco Vida e Previdencia oferece 3 possibilidades para voce contratar seus planos \
Como faco para candidatarme a vagas em agencias,\Para qualquer possibilidade de emprego inclusive para vagas em agencias por todo o Brasil voce deve cadastrar seu curriculo em nosso site e aguardar um contato \
Quais procedimentos de seguranca devo ter com meu Certificado Digital,\Para usar seu certificado com seguranca voce deve atentarse a alguns cuidados com sua senha pessoal PIN \
O PTRB permite o agendamento e pagamento de quais tributoscontas,\Tributos Federais Tributos Estaduais \
Um orgao publico pode obter emprestimo junto as instituicoes financeiras,\Sim desde que essa operacao se enquadre nos termos da resolucao 282701 do BACEN \
Como faco para sacar meu beneficio caso tenha perdido o Cartao Bradesco INSS,\Cancele seu cartao imediatamente pelo Fone Facil nas Maquinas de Autoatendimento ou em qualquer Agencia Bradesco Para sacar seu beneficio e pedir uma nova via do cartao voce deve ir a agencia onde possui conta \
Onde posso sacar meu beneficio do INSS,\Voce pode sacar seu beneficio nas Maquinas de Autoatendimento ou em qualquer Agencia Bradesco \
Por que ocorre o bloqueio do beneficio do INSS,\O bloqueio acontece quando o INSS precisa que voce compareca a um de seus postos para algum tipo de esclarecimento \
Qual e a data do credito do meu beneficio,\O INSS efetua o credito de acordo com o fim do numero do beneficio conforme abaixo \
Qual o valor minimo para abertura de conta,\O valor minimo para deposito durante a abertura de conta varia de acordo com cada agencia Encontre a mais proxima de voce e verifique a informacao \
Qual o prazo para recebimento da 2 via de extratos solicitados na agencia,\O prazo para recebimento e de ate 10 dias uteis Ganhe tempo no Bradesco voce pode consultar seu extrato sempre que precisar pelo Internet Banking Bradesco Celular Fone Facil e nas Maquinas de Autoatendimento Saiba como aqui \
Durante a ativacao do OBB Plus qual senha deve ser usada pelo Master,\Devera ser usada a senha do Certificado Digital de acesso Bradesco Net Empresa \
Por que o menu do OBB Plus nao apresenta todas as opcoes existentes,\Porque o OBB Plus opera com a possibilidade de restricao de acesso a certas funcionalidades para determinados usuarios \
O que e Deposito Identificado,\O que e Deposito Identificado Sao depositos que permitem a identificacao imediata dos depositantes com caracteres numericos ou alfanumericos Conheca aqui as vantagens e principais caracteristicas \
Qual o valor da tarifa do Deposito Identificado,\Qual o valor da tarifa do Deposito Identificado Va ate uma Agencia Bradesco e confira a tabela de tarifas vigente \
Qual e o custo para inclusao exclusao ou alteracao de um cheque ja em custodia,\Va ate uma Agencia Bradesco e confira a tabela de tarifas vigente Saiba mais sobre custodia de cheques aqui \
Por quanto tempo comprovantes de pagamentos e documentos pagos via codigo de barras ficam disponiveis,\Por 12 meses a partir da data do pagamento \
O que e o servico Debito Automatico Bradesco,\E uma solucao para voce evitar esquecimentos e atrasos no pagamento de suas despesas Com ele voce cadastra suas contas e elas sao pagas automaticamente nas datas de vencimento se houver saldo disponivel Conheca todos os detalhes e saiba como cadastrarse aqui \
Nao reconheco um Debito Automatico em minha conta O que devo fazer,\Entre em contato com sua agencia ou ligue para o Fone Facil \
O acesso ao Fone Facil e tarifado,\Nao A tarifa de acesso ao Fone Facil deixou de ser cobrada em 30042008nbsp \
Acho que minha conta esta com algum tipo de restricao O que devo fazer para descobrir o motivo e regularizala,\Para retirar a restricao do seu CPF e necessario realizar o pagamento eou renegociacao de todas as dividas vinculadas ao CPF Apos esse procedimento a restricao e retirada dos contratos renegociados nos orgaos de protecao ao credito em ate 5 dias uteis \
Minha conta e conjunta posso excluir um dos titulares,\Sim Para isso va ate a agencia detentora da conta junto ao outro titular e preencha o formulario de exclusao \
Posso escolher a agencia para abertura da Conta Internacional,\A Conta Internacional e aberta exclusivamente na Agencia 3700  Bradesco DigitalSP Quando retornar ao Brasil voce pode transferir sua conta para a Agencia Bradesco que preferir \
O que fazer se receber algum email falso ou estiver com uma pagina suspeita,\Nunca forneca seus dados em emails e telas que solicitam informacoes pessoais e confidenciais RG CPF senhas numeros de cartao de credito e debito etc Nao execute programas arquivos originados de emails e links caso nao os tenha solicitado e a origem seja desconhecida Nao siga nenhuma orientacao ou instrucao apresentada delete imediatamente a mensagem do seu computador Caso tenha digitado alguma informacao providencie imediatamente a alteracao das senhas atraves do Fone Facil ou Agencia Recebeu emails falsos ou suspeitos Ajudenos a combatelos Envie para evidenciabradescocombr Clique aqui e conheca alguns exemplos de paginas e emails fraudulentos \
O que e o Bradesco Exclusive,\O Bradesco Exclusive e um segmento que atende os clientes pessoa fisica com renda entre R400000 e R999999 e oferece atendimento personalizados por profissionais que a partir da identificacao de necessidades e expectativas apresentam solucoes financeiras adequadas a cada perfil \
Como me torno um Cliente Exclusive,\Se voce ainda nao e Correntista Bradesco preencha e envie a proposta de abertura de conta Se voce ja tem conta no Bradesco procure por um de nossos Gerentes Exclusive nbsp \
Terminei de pagar meu financiamento de veiculos O que faco agora,\Se voce pagou seu contrato antecipadamente solicite ao seu gerente a baixa do gravame para que seu veiculo nao fique mais alienado ao Bradesco Se voce concluiu o pagamento sem antecipar seu contrato sera finalizado automaticamente e em ate 5 dias uteis seu veiculo nao estara mais alienado \
Como recarregar a funcao pedagio no cartao,\Pelo equipamento para carga com leitora de chip conectado a um computador com acesso a internet \
Quais os servicos disponiveis no Portal Transportes,\Consulta de cargas feitasConsulta de uso nos pedagios dos ultimos 30 diasBaixa dos arquivos de movimentacoesRoteirizador \
Como acompanhar assembleia ao vivo,\A Bradesco Consorcios informara o resultado das Assembleias por meio do extrato mensal enviado via correio Voce tambem pode consultar o resultado no Canal do Consorciado area restrita do site Se preferir ligue para Central de Atendimento ao Consorciado nos telefones 40044436 capitais e regioes metropolitanas e 08007224436 demais localidades  de 2 a 6 feira das 8h as 20h \
Quais informacoes preciso para realizar meu cadastro,\Para realizacao do cadastro e necessario que esteja com o seu cartao e documentos pessoais em maos \
Meus adicionais podem acessar as informacoes,\Sim cada cliente fara seu acesso com CPF e senha Para isso devera fazer o cadastro na opcao Primeiro Acesso e criar a senha \
Onde posso tirar duvidas de inscricao certificado e navegacao nos cursos online gratuitos,\Visite a pagina da Escola Virtual e saiba tudo o que precisa para fazer os cursos \
Onde posso visualizar os comunicados do Bradesco emitidos ao mercado,\Voce pode acessalos aqui \
Terei suporte na hora de decidir investir Se sim de quem,\O Bradesco oferece profissionais de investimentos preparados para recomendar o atendimento mais adequado para voce converse com seu gerente de relacionamento e ele te auxiliara na escolha do profissional que realizara seu atendimento De qualquer forma a plataforma de gestao de patrimonio realiza um atendimento remoto onde consultores de investimentos estao sempre a disposicao para melhor atendelo Telefone Capitais e Regioes Metropolitanas 11 40201414 Demais Localidades 0800 704 1414 Dias uteis das 0800 as 2000 horario de Brasilia \
Meu gerente de relacionamento da agencia consegue realizar todas aplicacoes disponiveis para mim,\Resposta sugerida para Fundos de Investimento Para saber se o fundo escolhido esta disponivel para investimento na Agencia acesse dentro da pagina do fundo em Caracteristicas Horario de Movimentacao  Consulte a Tabela Selecione o canal Agencia \
Consigo aplicar em todos os produtos disponiveis para mim pelo Internet Banking,\Resposta sugerida para Fundos de Investimento Para saber se o fundo escolhido esta disponivel para investimento pelo Internet Banking acesse dentro da pagina do fundo em Caracteristicas Horario de Movimentacao  Consulte a Tabela Selecione o canal Internet \
Como faco para incluir os pagamentos do meu financiamento em debito em conta,\O debito em conta e um servico disponivel para clientes correntistas do Banco Bradesco E a forma mais pratica rapida e segura de pagar as parcelas do seu financiamento sem se preocupar com o vencimento Clique aqui para solicitar ou ligue para a Central de Relacionamento nos telefones 40044433 capitais e regioes metropolitanas ou 0800 722 4433 demais localidades \
Como faco para obter uma 2 via do boleto do meu financiamento,\Clique aqui para obter agora mesmo a 2 via de seu boleto de financiamento ou ligue para a Central de Relacionamento nos telefones 40044433 capitais e regioes metropolitanas ou 0800 722 4433 demais localidades \
Como faco para alterar o meu endereco de correspondencia do meu contrato de financiamento,\Clique aqui e acesse no item servicos a opcao\Alteracao de endereco\ utilize a area restritanbspcom seu CPF ou ligue para a Central de Relacionamento nos telefones 40044433 capitais e regioes metropolitanas ou 0800 722 4433 demais localidades \
Recebi uma carta de cobranca do SCPC Serasa ou ControlCred o que devo fazer,\Para retirar a restricao do seu CPF e necessario realizar o pagamento eou renegociacao de todas as dividas vinculadas ao CPF Apos esse procedimento a restricao e retirada dos contratos renegociados nos orgaos de protecao ao credito em ate 5 dias uteis \
Fiz uma renegociacao mas atrasei o pagamento da parcela Como faco para regularizar,\Para pagamentos realizados em debito automatico e necessario realizar o deposito em conta corrente referente ao valor atualizado da sua parcela Caso a forma de pagamento seja boleto bancario o mesmo pode ser atualizado no sitenbspou em qualquer agencia Bradesco \
Realizei uma renegociacao pelo Fone Facil como posso conferir quais contratos foram inclusos em meu contrato de renegociacao de dividas,\Para conferir os contratos inclusos na renegociacao realizada no Fone Facil solicite o detalhamento ao atendente nos telefones abaixo 4002 0022 capitais e regioes metropolitanas 55 11 4002 0022 acesso do exterior 0800 570 00 22 demais regioes Atendimento para renegociacao em dias uteis das 6h as 17h45min  \
Onde pago minha fatura,\Sua fatura pode ser paga na Rede Bancaria nas Casas Lotericas correspondentes bancarios e no Internet Banking do seu banco \
Como posso ter informacoes sobre a fatura Casas Bahia Visa Internacional,\Suas faturas sao enviadas para o endereco cadastrado Se preferir voce pode consultalas atraves do APP Casas Bahia site Bradescard Fale com o Bradescard ou Central de Atendimento do seu cartao \
Por que minha compra nao foi autorizada,\O primeiro passo e saber o quanto voce pode gastar com o numero do seu cartao entre em contato conosco atraves do site Bradescard Fale com o Bradescard ou Central de Atendimento do seu cartao e verifique o valor disponivel Se ainda tiver duvida ligue pra nos na Central de Atendimento \
Posso cancelar minha adesao ao plano,\O cancelamento pode ser feito a qualquer momento \
Como reportar um problema via menu do Rapport,\Para relatar um problema via menu do Rapport siga os passos 1 Abrir o Rapport em Iniciar gt Todos os Programas gt Protecao de Terminal Trusteer gt Console do Trusteer Endpoint Protection 2 Clicar em Relatar um problema preencher o formulario e clicar em Submeter \
O que e portabilidade de salario,\A portabilidade de salario e uma regulamentacao do Banco Central que da opcao aos funcionarios de empresas privadas e de orgaos publicos escolherem o banco ou instituicao de pagamento em que desejam receber seus salarios proventos ou similares sem pagar a mais pelo servico \
Como e regulamentada a portabilidade,\A portabilidade de salario e regulamentada pelas seguintes normas Resolucao CMN n 34022006 Resolucao CMN n 34242006 Resolucao CMN n 46392018 Circular BCB n 33362006 Circular BCB n 33382006 Circular BCB n 39002018Em 22022018 foi publicada a resolucao 4639 do CMN Conselho Monetario Nacional que altera a resolucao CMN n 3402 e entrara em vigor em 01072018 Com essa resolucao a portabilidade de salario passa a ser permitida tambem para instituicoes de pagamentonbsp \
Quais tarifas sao cobradas para o cliente que fizer a portabilidade de salario,\Para fazer a transferencia de salario nao ha cobranca de tarifa \
Com a portabilidade a transferencia pode ser feita para conta de titularidade diferente,\Nao As transferencias sao permitidas apenas para contas de mesma titularidade conjunta ou nao \
Onde contrato o financiamento de veiculos,\Voce pode contratar em sua agencia Conheca todas as condicoes aqui \
Posso simular o financiamento de veiculos,\Sim simule agora mesmo \
Como faco para retirar a restricao do meu CPF,\Para retirar a restricao do seu CPF e necessario realizar o pagamento eou renegociar todas as dividas vinculadas ao CPF A renegociacao de dividas pode ser realizada nas agencias ou nos canais digitais Apos esse procedimento a restricao e retirada dos contratos renegociados nos orgaos de protecao ao credito em ate 5 dias uteis \
Como renegociar divida do cartao de credito,\Voce pode renegociar as dividas do Cartao de Credito pelo App Bradesco e no Internet Banking em dias uteis das 6h as 17h45min Caso voce nao tenha a senha de 4 digitos nao tem problema Basta acessar aquinbspe enviar uma proposta de renegociacao que sera analisada em ate 3 dias uteis \
Tenho um boleto vencido como atualizo o valor,\ Com o numero do boleto em maos e possivel atualizarnbsp aquinbspnbsp Caso nao possua o numero do boleto em maos procure uma agencia Bradesco  \
Quero colocar uma Maquina de Autoatendimento em meu estabelecimento comercial O que devo fazer,\E so procurar a agencia mais proxima e fazer a solicitacao \
O que sao Travelers Cheques e como faco para adquirilos,\A venda de Traveler Cheques sera descontinuada em 02012017 \
Como recebo meu pedido de Traveler Cheques,\A venda de Traveler Cheques sera descontinuada em 02012017 \
Como consigo informacoes sobre os sorteios,\Os resultados dos sorteios ficam disponiveis para consulta no site wwwbradescocapitalizacaocombr \
Como funciona a correcao dos valores das mensalidades do titulo de capitalizacao,\Seu pagamento mensal e corrigido anualmente pelo IGPM ou IPCA conforme o plano contratado A provisao matematica e atualizada todo mes pela taxa de remuneracao basica aplicada a caderneta de poupanca que e a TR e capitalizada a taxa de 05 ao mes \
Quero adquirir um titulo de capitalizacao O que devo fazer,\Escolha seu titulo e adquira sua proposta pela Internet Correntistas Bradesco tambem podem adquirir pelo Fone Facil e nas Maquinas de Autoatendimento Se preferir va a qualquer Agencia Bradesco \
Como obtenho informacoes sobre os Informes de Rendimentos Financeiros de Titulos de Capitalizacao,\Agora voce pode consultar essa informacao no Internet Banking a partir do ultimo dia de fevereiro de cada ano Se for cliente naocorrentista o documento e enviado para o endereco de correspondencia cadastrado A segunda via pode ser solicitada no Fone Facil ou na rede de agencias \
Como faco para alterar meus dados cadastrais,\Basta ir com os documentos pessoais e do titulo na agencia em o titulo foi adquirido preferencialmente ou na agencia operadora da conta \
Como faco para cancelar uma compra feita com meu cartao,\O cartao de credito e apenas um meio de pagamento portanto nao temos como intervir em transacoes legitimas realmente realizadas pelos clientes Assim orientamos que o cancelamento da compra seja feito formalmente junto ao estabelecimento via email ou carta Entretanto se a compra for indevidanbspclique aqui e veja como proceder \
E possivel alterar a modalidade do cartao de credito,\Sim Ligue para o Fone Facil  opcao 6 do atendimento eletronico  e confira os requisitos para alteracao da modalidade do seu cartao de credito Visa MasterCard e Elo Para cartoes American Express Membership Cards entre em contato com o Servico de Atendimento ao Associado \
Quais as promocoes vantagens e ofertas de um cartao de credito Bradesco,\Com seu Cartao de Credito Bradesco voce aproveita vantagens exclusivas e nao precisa se inscrever para participar e so comprar nos estabelecimentos participantes e voce recebe na hora descontos brindes e outros beneficios Acesse a pagina do Precompensa e Promocoes e Ofertas e fique ligado \
E possivel transferir o limite do cartao de credito para Contas Bradesco,\Sim e possivel Clique aqui e saiba como \
Por que meu novo cartao possui a bandeira Elo,\A bandeira Elo foi lancada em parceria com os maiores Bancos Brasileiros Bradesco Banco do Brasil e Caixa e e aceita em milhares de estabelecimentos nacionais Com o novo Cartao Multiplo Bradesco Elo Nacional voce pode fazer compras com as funcoes debito e credito conveniencia e praticidade no dia a dia \
Os dados bancarios digitados durante a navegacao no aplicativosite mobile do Bradesco sao armazenados no celular,\Nao os dados das transacoes nao sao armazenados Por esse motivo ao fazer um novo acesso voce precisa digitalos novamente Ficam registrados somente o numero da conta e a titularidade se voce optar por deixar essas informacoes gravadas para um proximo acesso \
Quem pode acessar a conta pelo celular,\Correntistas Bradesco Pessoa Fisica e Juridica Para clientes com conta salario nao esta disponivel o acesso ao aplicativo \
O que e o Bradesco Cidadetran,\E um segmento direcionado a despachantes e autoescolas correntistas do Bradesco Nele e possivel financiar debitos veiculares e pagar taxas referentes a emissao de CNH pela internet Se interessou Visite o site ou ligue para 11 36522101 ou 08000145333 \
Como faco para financiar os debitos do meu veiculo,\Procure um despachante ou autoescola conveniada ao Bradesco solicite uma simulacao de prazos e escolha a opcao ideal para voce Para localizar o estabelecimento mais proximo de voce tenha seu CEP em maos e ligue para 11 36522101 ou 08000145333 \
